title,company,location,description,salary_predicted,date_posted,category,avg_salary,city,description_clean,sql,python,power bi,tableau,excel,r,spark,aws,azure,snowflake,pandas,matplotlib,seaborn,machine learning,statistics,dax,etl,looker,databricks
Data Analyst,TPI Global Solutions,"Plano, Collin County","Position : Business Data Analyst Location: Plano, TX Hybrid: 2 days a week for now but eventually it can be 4 days a week(M/T). Duration: 12 Months (Contract) Who We Are Our Analytics team focuses on generating actionable insights by leveraging data and applying effective data storytelling. We empower the organization to make informed, data-driven decisions that positively impact customers, employees, and overall business performance. What We’re Looking For We are seeking a detail-oriented and …",Yes,"May 29, 2026",IT Jobs,51233.24,Plano,"position : business data analyst location: plano, tx hybrid: 2 days a week for now but eventually it can be 4 days a week(m/t). duration: 12 months (contract) who we are our analytics team focuses on generating actionable insights by leveraging data and applying effective data storytelling. we empower the organization to make informed, data-driven decisions that positively impact customers, employees, and overall business performance. what we’re looking for we are seeking a detail-oriented and …",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst,Butler Aerospace and Defense,"Grand Prairie, Dallas","Data Analyst Location: Grand Prairie, TX Job ID: 72460 Pay Range: $52-61 an hour 12 Month contract Job Description We are seeking a skilled Data & AI Specialist to design, develop, and deploy data-driven solutions that leverage artificial intelligence and machine learning. This role bridges data engineering, analytics, and AI model development to deliver actionable insights and scalable intelligent systems that support business objectives. Design, build, and maintain data pipelines and infrastr…",Yes,"May 29, 2026",IT Jobs,67110.3,Grand Prairie,"data analyst location: grand prairie, tx job id: 72460 pay range: $52-61 an hour 12 month contract job description we are seeking a skilled data & ai specialist to design, develop, and deploy data-driven solutions that leverage artificial intelligence and machine learning. this role bridges data engineering, analytics, and ai model development to deliver actionable insights and scalable intelligent systems that support business objectives. design, build, and maintain data pipelines and infrastr…",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Data Analyst IV,"Judge Group, Inc.","Booth, Fort Bend County","Location: Sugar Land, TX Salary: $36.00 USD Hourly - $37.00 USD Hourly Description: Our client is currently seeking a Data Analyst IV Location: Onsite, Stafford, Texas (5 days a week) Contract on W2 This job will have the following responsibilities: We are seeking a highly skilled Data Analyst IV to support the Capacity Planning team. This role requires an analytical professional with strong experience in metrics development, KPI creation, and reporting automation. You will work closely with bu…",Yes,"May 28, 2026",IT Jobs,142354.47,Booth,"location: sugar land, tx salary: $36.00 usd hourly - $37.00 usd hourly description: our client is currently seeking a data analyst iv location: onsite, stafford, texas (5 days a week) contract on w2 this job will have the following responsibilities: we are seeking a highly skilled data analyst iv to support the capacity planning team. this role requires an analytical professional with strong experience in metrics development, kpi creation, and reporting automation. you will work closely with bu…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lead Data Analyst,Vistra Corp,"Irving, Dallas","If you have what it takes to become part of the Vistra family and would like to start a promising career with a global leader, take a look at the exciting employment opportunities that are currently available and apply online. Job Summary As a Lead Data Analyst, you will be responsible for leading and driving data strategy and analytics initiatives that impact business decisions. The successful candidate will have extensive experience in statistical analysis and data modeling and be able to wor…",Yes,"March 27, 2026",IT Jobs,104308.2,Irving,"if you have what it takes to become part of the vistra family and would like to start a promising career with a global leader, take a look at the exciting employment opportunities that are currently available and apply online. job summary as a lead data analyst, you will be responsible for leading and driving data strategy and analytics initiatives that impact business decisions. the successful candidate will have extensive experience in statistical analysis and data modeling and be able to wor…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sr. Data Analyst,"VDart, Inc.","Highland Park, Dallas","Job Title: Sr. Data Analyst Location: Dallas, TX, Bellevue, WA Duration: / Term: C2C Experience Desired: 8 Years Job Description: We are seeking a Senior Data Analyst to support a critical finance transformation initiative by ensuring data accuracy, completeness, and readiness, especially for the FP&A / Planning (BPM) workstream. The organization is implementing planning modules (Oracle BPM / EDM / EBPCS) and will feed data from upstream platforms such as Snowflake / Databricks into these syste…",Yes,"May 27, 2026",IT Jobs,95183.52,Highland Park,"job title: sr. data analyst location: dallas, tx, bellevue, wa duration: / term: c2c experience desired: 8 years job description: we are seeking a senior data analyst to support a critical finance transformation initiative by ensuring data accuracy, completeness, and readiness, especially for the fp&a / planning (bpm) workstream. the organization is implementing planning modules (oracle bpm / edm / ebpcs) and will feed data from upstream platforms such as snowflake / databricks into these syste…",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Master Data Analyst,Vaco LLC,"Prosper, Collin County","Position Summary The Customer Master Data Analyst is responsible for ensuring the accuracy, consistency, and integrity of customer master data within CRM and related enterprise systems. This role supports the development of a unified, reliable customer data foundation to enable accurate reporting, analytics, and informed business decision-making. Key Responsibilities Analyze, maintain, and cleanse customer master data within CRM systems to ensure accuracy, consistency, and completeness. Review …",Yes,"May 29, 2026",IT Jobs,119177.33,Prosper,"position summary the customer master data analyst is responsible for ensuring the accuracy, consistency, and integrity of customer master data within crm and related enterprise systems. this role supports the development of a unified, reliable customer data foundation to enable accurate reporting, analytics, and informed business decision-making. key responsibilities analyze, maintain, and cleanse customer master data within crm systems to ensure accuracy, consistency, and completeness. review …",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst - IT - II,"Judge Group, Inc.","Irving, Dallas","Location: Irving, TX Salary: $35.00 USD Hourly - $40.00 USD Hourly Description: What will you do: Design, build, and implement data flow, data validation, and system integrations in collaboration with GTS, AI&D, vendors, business teams, and development teams. Drive agile project management, including creating user stories in Jira, leading grooming sessions, and ensuring successful sprint execution. Utilize expertise with VOC vendors such as Qualtrics, Medallia, and other customer experience pla…",Yes,"March 27, 2026",IT Jobs,104983.83,Irving,"location: irving, tx salary: $35.00 usd hourly - $40.00 usd hourly description: what will you do: design, build, and implement data flow, data validation, and system integrations in collaboration with gts, ai&d, vendors, business teams, and development teams. drive agile project management, including creating user stories in jira, leading grooming sessions, and ensuring successful sprint execution. utilize expertise with voc vendors such as qualtrics, medallia, and other customer experience pla…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Power BI Data Analyst,Central Point Partners,"Grand Prairie, Dallas","Data Analyst (Power BI) Reports To: Director of Enterprise Applications & Business Intelligence Location: Fort Worth, TX (On-site preferred; remote considered for exceptional candidates) Type: Full-Time Turn Complex Data into Actionable Insights We are seeking a Data Analyst with strong Power BI expertise and experience working with operational and financial reporting in construction, MEP, or project-based environments. This role will help deliver accurate, scalable, and business-focused report…",Yes,"May 27, 2026",IT Jobs,102526.45,Grand Prairie,"data analyst (power bi) reports to: director of enterprise applications & business intelligence location: fort worth, tx (on-site preferred; remote considered for exceptional candidates) type: full-time turn complex data into actionable insights we are seeking a data analyst with strong power bi expertise and experience working with operational and financial reporting in construction, mep, or project-based environments. this role will help deliver accurate, scalable, and business-focused report…",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst- Digital Partnerships,"Innova Solutions, Inc","Trammells, Harris County","A client of Innova Solutions is immediately hiring for a Data Analyst- Digital Partnerships. Position type: Full-time, Contract Duration: 12 months, possible extension Location: Houston, TX (Hybrid) About the Role: The Digital Partnership Specialist plays a critical role in ensuring the day-to-day success of third-party broker partnerships. This position is responsible for automating routine processes, analyzing partner data for accuracy, systematically updating and validating partner data, and…",Yes,"May 07, 2026",IT Jobs,55687.04,Trammells,"a client of innova solutions is immediately hiring for a data analyst- digital partnerships. position type: full-time, contract duration: 12 months, possible extension location: houston, tx (hybrid) about the role: the digital partnership specialist plays a critical role in ensuring the day-to-day success of third-party broker partnerships. this position is responsible for automating routine processes, analyzing partner data for accuracy, systematically updating and validating partner data, and…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst with Security Clearance,TAD PGS,"Fort Worth, Tarrant County","We have an outstanding Contract position for a Data Operations Specialist to join a leading Company located in the Fort Worth, TX surrounding area. US Citizenship is required. Candidate must possess an Active Secret Security Clearance. As a Data Operations Specialist to support the daily movement and management of flight test data across multiple test sites and network environments. The selected candidate will assist in transferring large volumes of data, monitoring transfer status, and ensurin…",Yes,"May 25, 2026",IT Jobs,114258.34,Fort Worth,"we have an outstanding contract position for a data operations specialist to join a leading company located in the fort worth, tx surrounding area. us citizenship is required. candidate must possess an active secret security clearance. as a data operations specialist to support the daily movement and management of flight test data across multiple test sites and network environments. the selected candidate will assist in transferring large volumes of data, monitoring transfer status, and ensurin…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
